year,mile2_id,km1_id,rfP,rfV,unetP,unetV
2020,17663,1415-3-12-4-1,3.3676553221862804,3.4333033740751633,4.448750887167587,3.6168602451023197
2020,10625,1413-1-6-15-2,0.6699451385389226,0.5594069272180261,0.5668150779274544,0.4390683085937295
2016,30823,1544-1-18-1-4,0.0014818608378559727,0,0.003915372486514397,0
2016,6621,1352-3-5-c-1,1.1674751951448363,0.2542040153587138,0.6952843438683931,0.29953310975208786
