gridID,tofArea,totalArea,percentTOF
1481-3-10-13-2,0.001691203684128821,0.5924895089308322,0.2854402750827869
1481-3-10-13-4,0,0.138952016030699,0
1481-3-10-14-1,0.0035295349153652788,1.0858584920234977,0.32504556913193994
1481-3-10-14-2,0.029851889848336578,1.0858523136482985,2.7491666659565124
1481-3-10-14-3,0,1.067693031903617,0
1481-3-10-14-4,0.036831911268606785,1.0856978401505948,3.3924642664388016
1481-3-10-19-1,0.0035280957013443114,0.9009743997360468,0.39158667575659384
1481-3-10-19-2,0.023227589818641543,1.0855448845043332,2.1397171273343902
1481-3-10-19-3,0.010216392407037318,0.43216443277798594,2.3640058348544715
1481-3-10-19-4,0.09473687887194752,1.077746762650676,8.790272646140535
1481-3-10-4-4,2.9431337556242945e-4,0.07541640997547656,0.39025110802560403
1481-3-10-5-1,0,0.7923417833955735,0
1481-3-10-5-2,0.01589565174356848,1.0867739527009428,1.462645631509962
1481-3-10-5-3,0.02935728883689642,1.0732342998078466,2.7354035220596833
1481-3-10-5-4,0.04900158803512156,1.0866196421325356,4.509543738686146
1481-3-10-9-2,0,0.6018734669845104,0
1481-3-10-9-4,0.00066201654156297445,0.7052872765442133,0.09386480709062865
1481-3-10-a-1,0.04171428830175847,1.0864730218057632,3.8394223753874344
1481-3-10-a-2,0.1429465985100791,1.0864668477841615,13.157014298376179
1481-3-10-a-3,0.014712237617142498,1.075874050783217,1.3674683952487052
1481-3-10-a-4,0.11423728439953178,1.086312482877776,10.516061096610352
1481-3-10-e-2,0.012797222800731659,0.6893745124099254,1.8563527618674125
1481-3-10-e-4,0.01669359627788514,0.6675831190222129,2.5006019179058487
1481-3-10-f-1,0.008752017746664583,1.0861658109500258,0.8057717945485269
1481-3-10-f-2,0.10502690323195607,1.0861596347532123,9.669564203223164
1481-3-10-f-3,0.051550394035547974,1.0755697403493225,4.792845326682906
1481-3-10-f-4,0.04529983728606254,1.0936531395990179,4.142066222447044
1481-3-11-1-1,0.037973057257078585,1.07631732655634,3.5280540710584654
1481-3-11-1-2,0.016263543259359897,1.0867600658741146,1.4965164593417986
1481-3-11-1-3,0.025751719135276973,1.0866134691477567,2.369906122687246
1481-3-11-1-4,0.020675468737520276,1.094259460165061,1.8894484800160223
1481-3-11-10-1,0.05698219708777964,1.0754045421481133,5.298675508098384
1481-3-11-10-2,0.005293850707001984,1.0934851615392267,0.4841264329138386
1481-3-11-10-3,0.06285671840641648,1.0856916606412381,5.7895552379293065
1481-3-11-10-4,0.03903583509348333,1.0856854810874461,3.5955012545976195
1481-3-11-11-1,0.012499279665477574,1.0858322336345165,1.1511243890448684
1481-3-11-11-2,0.030219193989500404,1.0858260550709964,2.783060311398084
1481-3-11-11-3,0.001837799865655601,1.0752393124380708,0.17092007745591525
1481-3-11-11-4,0.009189688726685942,1.0856715769403875,0.8464519954168914
1481-3-11-12-1,0.035438637631438674,1.0858198764767946,3.2637676284235937
1481-3-11-12-2,0.0022793574421927335,1.075372416623324,0.21195982033367844
1481-3-11-12-3,0.004484532138995826,1.0856653972511738,0.4130676127608319
1481-3-11-12-4,0,1.093304704946719,0
1481-3-11-13-1,7.352910350263118e-5,1.0858059744647444,0.006771845544401049
1481-3-11-13-2,0.0031615175809562206,1.0857997957192511,0.2911694764928539
1481-3-11-13-3,0.0066159706492498515,1.085653037729919,0.6094000955483648
1481-3-11-13-4,0.012423340412378312,1.0827790623381437,1.1473569119032887
1481-3-11-14-1,0.017498632271923123,1.0857936169367284,1.6115983736661448
1481-3-11-14-2,0.021542386660791935,1.0857874381034225,1.984033513817462
1481-3-11-14-3,0.0037492086503282188,1.075201060322091,0.3486983773253621
1481-3-11-14-4,0.012276403540186585,1.0751949398291112,1.1417839766003517
1481-3-11-15-1,0.09445505897274613,1.0826711938734501,8.724260838123552
1481-3-11-15-2,0.05432027974166721,1.0855309781206994,5.004028520283037
1481-3-11-15-3,0.09951318891859799,1.093027725565411,9.104360904214111
1481-3-11-15-4,0.06894007244179398,1.0853779933143257,6.351710912368658
1481-3-11-16-1,2.2051042161881922e-4,1.0931693382618726,0.020171661782009766
1481-3-11-16-2,0.0012495658578276633,1.085518616705656,0.11511233788139531
1481-3-11-16-3,2.204993303120136e-4,1.0825047420880198,0.020369363914905098
1481-3-11-16-4,0,1.0853640842719823,0
1481-3-11-17-1,0,1.0750740512043835,0
1481-3-11-17-2,0,1.0750679298121184,0
1481-3-11-17-3,0.0030132258505672217,1.093001267921731,0.27568365554567653
1481-3-11-17-4,0,1.085351720499754,0
1481-3-11-18-1,0.010511400641970337,1.0854985290341974,0.9683477555075698
1481-3-11-18-2,0.0025727773800194266,1.085492348117724,0.23701478729727565
1481-3-11-18-3,0.011317611202962697,1.0929888169901223,1.0354736505108249
1481-3-11-18-4,0.019842209129080177,1.074902635904759,1.8459540860999692
