MLRA_ID,mlraArea,forestArea
63,15.037485506070126,9.000000001029111e-4
72,2194.0089135287794,6.756333448540161
77,2013.0516066816108,195.06086267970124
78,12373.645355878627,505.45104197576
79,52263.0457646219,139.19666805329703
80,8185.984573975167,409.27745259975774
81,9783.701896010689,77.74595646689417
86,21831.59511501955,294.13234089777427
87,15662.274784576583,9.008467921465611
88,15397.485142576337,123.14930658657437
89,273.90272431171184,31.88222736582679
90,18582.582076145154,268.26578478052664
142,22463.93704863955,493.6261091222891
146,4598.384125071427,385.1712511703706
150,14689.926134646073,779.5798256016193
