gridID,year,class_71,total_rast_area,class_21,class_41,class_42,class_43,class_90,class_95,class_52,class_22,class_23,class_82,class_11,class_31,class_24,class_81
1481-4-19-8-4,2020,0.8790386212677426,1.0323405361808604,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15330191491311784,NA,NA,NA,NA
1481-4-19-9-1,2020,0.8438650100319405,1.0413081133228563,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19744310329091594,NA,NA,NA,NA
1481-4-19-9-2,2020,0.5691792749891582,1.0401990219019945,0.007721145135521888,NA,NA,NA,NA,NA,NA,NA,NA,0.4632986017773145,NA,NA,NA,NA
1481-4-19-9-3,2020,0.2867722164255086,1.0554979321491493,0.01654418423393369,NA,NA,NA,NA,NA,NA,NA,NA,0.752181531489707,NA,NA,NA,NA
1481-4-19-9-4,2020,0.8349123291784905,1.0753454310185693,0.07610195657035705,0.002205868049621582,NA,0.006617482139527798,0.019852519624024626,NA,NA,NA,NA,0.1356552754565477,NA,NA,NA,NA
1481-4-19-a-1,2020,0.9729082707346595,1.0589477811682737,0.025370438002198927,NA,NA,NA,NA,0.008824082214653492,NA,0.012133826687186959,0.0011030102768242358,0.02757814198330045,0.011030011269450187,NA,NA,NA
1481-4-19-a-2,2020,1.0677672460437098,1.0677672460437098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1481-4-19-a-3,2020,0.9440936863679374,1.058797080129751,0.06176378682464357,NA,NA,NA,0.023161214940577747,0.0022058375474214554,NA,0.012132112592190505,NA,NA,0.015440441856980324,NA,NA,NA
1481-4-19-a-4,2020,0.989309756786439,1.0323234059128792,0.028676431055843807,NA,NA,NA,NA,0.012131502537816762,NA,NA,NA,NA,0.0022057155327796936,NA,NA,NA
1481-4-19-b-1,2020,1.0531703323390709,1.0730212413386928,NA,NA,NA,NA,NA,0.019850908999621865,NA,NA,NA,NA,NA,NA,NA,NA
1481-4-19-b-2,2020,0.9847967872522434,1.0575772300985415,NA,0.0628557357782423,NA,NA,0.006616304602622986,0.001102754044353962,NA,NA,NA,NA,NA,0.00220564842107892,NA,NA
1481-4-19-b-3,2020,1.040893397415766,1.040893397415766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1481-4-19-b-4,2020,0.8071299330084921,1.0408873438004556,NA,0.1907549213798344,0.0022053982558250425,NA,0.005513397999584675,NA,NA,NA,NA,0.030873189554065473,NA,0.004410503602653742,NA,NA
