id,gridArea,tof2010_sum,tof2016_sum,tof2020_sum
1544-1-14-17-1,1.0000000014792085,0,0,0
1544-1-14-17-2,1.0000000014847517,0.0037409197255978363,0,2.0335055367834865e-4
1544-1-14-17-3,1.0000000014796853,2.0989828563202173e-4,0,0
1544-1-14-17-4,1.0000000014815331,2.9257647339254617e-6,0,0
1544-1-14-18-1,1.000000001493454,0.009538113574664109,3.474393356638029e-4,0
1544-1-14-18-2,1.0000000014822483,0.0063946625567339365,4.857057535424829e-4,0.0012010993576627225
1544-1-14-18-3,1.0000000014730692,0.003427409851267934,2.1942285504192115e-6,0
1544-1-14-18-4,1.0000000014756323,0.005149814061165788,7.460389351751656e-5,0
1544-1-14-19-1,1.0000000014849901,0.003319980962454341,2.3186540291830898e-4,0
1544-1-14-19-2,1.000000001481116,0.008785118558003567,2.7795891694165766e-4,0.0011374813353689386
1544-1-14-19-3,1.0000000014766455,3.1596928354166447e-4,1.9382188373897225e-4,0
1544-1-14-19-4,1.000000001482904,0.006212407304625959,1.974800389353186e-5,0
1544-1-19-3-1,1.0000000014756918,0.004941418817452155,1.1701091362163425e-5,4.753573580831289e-5
1544-1-19-3-2,1.0000000014832615,0.018606347490760497,4.197549661118537e-4,0.005904390031044372
1544-1-19-3-3,1.0000000014770627,0.006178387154974044,4.2408081327565014e-5,0
1544-1-19-3-4,1.0000000014795065,0.013764022109963,1.2575602328032256e-4,0.007759612777989358
1544-1-19-4-1,1.0000000014780164,7.334612216986716e-4,0,0
1544-1-19-4-2,1.0000000014823078,4.219672974124551e-4,1.4626287076622248e-5,0
1544-1-19-4-3,1.0000000014804005,0.003289632056763396,0,0
1544-1-19-4-4,1.0000000014737844,2.8368342987634244e-4,2.9245537891983987e-6,0
1544-1-19-5-1,1.0000000014722943,0.001756608394182287,7.898167815525085e-5,0
1544-1-19-5-2,1.0000000014734864,0.006662160439481027,5.19191921968013e-5,0
1544-1-19-5-3,1.0000000014756918,0.0014059395506624132,2.924528829753399e-6,0
1544-1-19-5-4,1.000000001476884,0.0010016634411951528,8.04251408483833e-6,0
1544-1-19-8-1,1.0000000014737844,0.021451840627490542,5.300168497236445e-4,0.006725833035216667
1544-1-19-8-2,1.000000001478493,0.016550492284826933,5.790243418263271e-4,0.002247394717309624
1544-1-19-8-3,0.40026702066898345,0.017405660747261718,8.553010759362951e-4,0.0056976625471692535
1544-1-19-8-4,0.32195352471995353,0.013993751121844165,4.663864044276998e-4,3.1872135573066774e-4
1544-1-19-9-1,1.000000001467228,0.010822227834254503,0,9.672171979937703e-4
1544-1-19-9-2,1.0000000014713406,0.016673665460345335,8.670120567725972e-4,3.099662487907335e-4
1544-1-19-9-3,0.2451460896407366,3.8744157172739505e-5,0,0
1544-1-19-9-4,0.16868035089107603,6.834972286392004e-4,0,0
1544-1-19-a-1,1.0000000014755726,0.015705339067840017,0.00302075489038229,0.006397495427059941
1544-1-19-a-2,0.9966734700691104,0.03801382804270368,0.009687126828498207,0.008880098077523522
1544-1-19-a-3,0.09219632498862222,0.001389636001257226,0,0
