id,gridArea,tof2010_sum,tof2016_sum,tof2020_sum
1544-2-10-14-3,1.000000001482904,0,0,0
1544-2-10-14-4,1.000000001476705,9.413856576690451e-4,0.001540432550078258,0.0010328059218712151
1544-2-10-19-1,1.0000000014753938,0.0050420217157443985,7.108843833496794e-4,2.4061937574017793e-4
1544-2-10-19-2,1.00000000147897,0.011891900300905109,0.008738846904218197,0.0038991283102212475
1544-2-10-19-3,1.0000000014719368,0.0035008998204125092,2.0769970201700927e-4,0
1544-2-10-19-4,1.0000000014778376,0,2.420582164078951e-4,0
1544-2-11-10-3,1.0000000014820098,0.027548907980425284,0.0023905098193585874,0.0016473178323181347
1544-2-11-10-4,1.0000000014762283,0.010316826545309275,2.4431935735978185e-4,6.729792833514511e-5
1544-2-11-11-3,1.0000000014741421,0,0,0
1544-2-11-11-4,1.0000000014776587,0,0,0
1544-2-11-12-1,1.0000000014768242,0,0,0
1544-2-11-12-2,1.0000000014835,0.012195638572203927,0.006463568309482187,0
1544-2-11-12-3,1.0000000014805794,0.01771551871638,0.006030783795219846,0.0012932254497306421
1544-2-11-12-4,1.000000001476407,0.033914375278651716,0.017511576216542164,0.002925126219497062
1544-2-11-13-1,1.0000000014762283,0.012969574306002818,0.00839767651278805,7.315113367512821e-6
1544-2-11-13-2,1.0000000014815331,0,1.719050042591989e-4,1.4630223811604082e-5
1544-2-11-13-3,1.0000000014755726,0.007134608002852648,0.003683607468500733,0
1544-2-11-13-4,1.0000000014799237,1.7993070008419455e-4,0,0
1544-2-11-14-1,1.000000001475513,0,0,0
1544-2-11-14-2,1.0000000014772414,7.314856564626098e-7,0,0
1544-2-11-14-3,1.0000000014851689,0,0,0
1544-2-11-14-4,1.000000001467943,0.0037658404823252933,6.568218837808817e-4,8.710666515184567e-4
1544-2-11-15-1,1.000000001475811,0,0,0
1544-2-11-15-2,1.0000000014780759,3.0790624579507856e-4,7.167899963725359e-5,0
1544-2-11-15-3,1.000000001476586,0.001811261389793828,2.0108865301962943e-4,0
