id,gridArea,tof2010_sum,tof2016_sum,tof2020_sum
1544-1-13-15-3,1.0000000014817119,0,0,0
1544-1-13-15-4,1.0000000014919639,0.012145664742399007,0.003694826830665581,0.002299841121174395
1544-1-13-16-3,1.0000000014917851,2.6334347407706084e-4,1.5800509887747466e-4,0
1544-1-13-16-4,1.000000001489222,0.0011301198214692994,2.735677430564538e-4,0
1544-1-13-17-3,1.000000001485586,0.0057391565085891634,8.082780433837324e-4,0
1544-1-13-17-4,1.00000000148803,1.4191025168821216e-4,5.35449782137759e-4,0
1544-1-13-18-3,1.0000000014804602,0.0015595551153514534,9.991993432166054e-4,0
1544-1-13-18-4,1.0000000014868378,0.01347110607360024,0.007733528608860448,0.0017642848363472149
1544-1-13-19-1,1.0000000014855266,1.331349764559418e-4,0,0
1544-1-13-19-2,1.0000000014888644,6.583512058481574e-6,0,0
1544-1-13-19-3,1.0000000014859438,0.01515759015571326,0.0033778786170203237,0.0030253026088606564
1544-1-13-19-4,1.0000000014808774,7.314904993399978e-7,7.75348746906966e-5,0
1544-1-14-15-1,1.0000000014894008,0,2.9259833295829595e-5,0
1544-1-14-15-2,1.0000000014887451,0.0025799503454407677,0.0015982984029334038,0.0016107298901164905
1544-1-14-15-3,1.000000001479268,0.0016413967742314561,1.682377411890775e-5,0
1544-1-14-15-4,1.0000000014860033,0.0027042070846157147,0.0014475894344514236,0.001434423288625665
1544-1-14-16-1,1.0000000014875532,0,0,0
1544-1-14-16-2,1.0000000014958381,0,0,0
1544-1-14-16-3,1.0000000014794468,0.006901183827367611,0.002024632892249152,0.005098873519584536
1544-1-14-16-4,1.000000001478672,6.948421125486493e-5,4.8200807636324317e-4,1.1483367519639432e-4
1544-1-14-17-1,1.0000000014792085,0.0012779017204297707,0,0
1544-1-14-17-3,1.0000000014796853,0.003057298116646707,0.0011987998055871577,0.006906050150193274
1544-1-18-1-1,1.0000000014877914,6.355806572502479e-4,2.4940462241042404e-4,2.1210367030929773e-4
1544-1-18-1-2,1.0000000014860033,0.00847644497768674,6.231627414738759e-4,0.0015052471906226129
1544-1-18-1-3,1.0000000014820696,1.3382401058264077e-4,0,0
1544-1-18-1-4,1.000000001481116,2.281547662317753e-4,1.8281601074151694e-5,0
1544-1-18-2-1,1.000000001480937,7.679888325557113e-5,1.7553616903722285e-5,0
1544-1-18-2-2,1.0000000014821886,0.004021773525921628,9.266355893667788e-4,0.0019673367481678724
1544-1-18-2-3,1.000000001483977,0,0,0
1544-1-18-2-4,1.000000001479745,7.846205344144255e-4,2.9253357267938553e-5,0
1544-1-18-3-1,1.0000000014829635,0.016559373551124707,0.0015169412290137261,0
1544-1-18-3-2,1.0000000014897585,0.001589968053340912,6.18033815195784e-4,0
1544-1-18-3-3,1.0000000014777184,0.029763892899162137,0.0019122892528222874,7.634519214229659e-4
1544-1-18-3-4,1.0000000014817714,9.214021771633997e-4,1.4625270459800958e-6,0
1544-1-18-4-1,1.0000000014830828,0.00926750960993301,0.005444525858143345,0
1544-1-18-4-2,1.0000000014808177,0.0026250085639096797,0.002102787205638364,0
1544-1-18-4-3,1.000000001478493,0.009109853008926846,7.313051167875528e-7,0
1544-1-18-4-4,1.0000000014736057,0.017028333591346628,1.7988324934244156e-4,0
1544-1-18-5-1,1.0000000014825463,0.0012359610714223236,0,0
1544-1-18-5-2,1.000000001486957,0,5.119332265108823e-6,0
1544-1-18-5-3,1.000000001483798,2.8299740852136165e-4,0,0
1544-1-18-5-4,1.0000000014699102,0.004586175843480043,1.4112925766594707e-4,0
1544-1-18-6-1,1.0000000014902353,1.0967333959974349e-4,0,0
1544-1-18-6-2,1.000000001479268,0.0053528363546803594,2.26673002904281e-5,0
1544-1-18-6-3,1.0000000014835,0,0,0
1544-1-18-6-4,1.0000000014892816,0.003661967220758088,0,0
1544-1-18-7-1,1.000000001478672,4.0359684799518437e-4,7.385082274209709e-5,0
1544-1-18-7-2,1.0000000014848114,6.434875843487679e-5,0,0
1544-1-18-7-3,1.0000000014781951,0.011907897326949983,9.079976310543716e-4,0
1544-1-18-7-4,1.0000000014801622,0.0023729265959979966,7.602683356683701e-5,3.435934471162036e-4
1544-1-18-8-1,1.0000000014811754,0.013409895770682021,0.001289115357477218,0.0016625815027877689
1544-1-18-8-2,1.0000000014758705,0.014736095721007324,0.0014082228544680401,0.0015134638979667798
1544-1-18-8-3,1.0000000014770627,0.021695118510602972,0.001601002526444383,0.0026485720975361763
1544-1-18-8-4,1.000000001480043,0.041807512420652435,0.0030046158268889414,0.0057561274978462605
1544-1-18-9-1,1.0000000014864205,0.002645490851775743,0,0
1544-1-18-9-2,1.000000001480043,0.00786656815473456,4.386959330178798e-6,0
1544-1-18-9-3,0.999129328535378,2.507369001172483e-4,0,0
1544-1-18-9-4,0.9491474284264445,1.4620433310046793e-6,0,0
1544-1-18-a-1,1.0000000014805794,0.007150482268558815,6.36078628404066e-5,1.4329997980687767e-4
1544-1-18-a-2,1.0000000014796853,0.009048503882518039,4.1676322050392626e-5,0
1544-1-18-a-3,0.8707908269639612,0,0,0
1544-1-18-a-4,0.7924159305162429,0.0029512572811692954,0,0
1544-1-18-b-1,0.4998444023824632,3.655085206031799e-6,0,0
1544-1-18-b-2,0.4195932514359057,0.006654398316604086,0,0.00311701915916428
1544-1-18-c-1,0.34065591803637146,1.2719749736040832e-4,0,0
1544-1-18-c-2,0.2623908121893704,0.003573965285088867,2.339272196125239e-5,0
1544-1-18-d-1,0.18410741175033152,0.002909434254050255,4.386115036904812e-6,1.0599671457521617e-4
1544-1-18-d-2,0.10580571660789474,0.026455079096622765,0.0016564587294356898,0.0026425867694914343
1544-1-18-e-1,0.028356382185447962,6.739819247853011e-4,0,3.874297002423555e-5
1544-1-19-1-1,1.0000000014888644,0.002678154490279034,2.9983259325847028e-5,0
1544-1-19-1-2,1.0000000014807582,0.004027942837323994,7.532363138254732e-5,0
1544-1-19-1-3,1.0000000014814139,3.136859059687704e-4,1.7696147860307246e-4,8.599651361685247e-4
1544-1-19-1-4,1.000000001469016,0.001927494120665826,6.368660076260566e-4,0
1544-1-19-2-1,1.0000000014870167,0.01225703762278147,0.009282820274222642,0.01476520635607466
1544-1-19-2-2,1.0000000014807582,0.006824458449275233,0.0031431766455909237,0.0034693515674155207
1544-1-19-2-3,1.000000001474738,2.8151901793293653e-4,1.6598613702133297e-4,1.4332494977768511e-4
1544-1-19-2-4,1.0000000014728307,8.760101362420246e-4,2.92496080417186e-6,0
1544-1-19-3-1,1.0000000014756918,0.013455508586435579,0.00167401873994153,0.002065989966917783
1544-1-19-3-3,1.0000000014770627,0.0077851488141184675,5.403933141948656e-4,1.0530033240374178e-4
1544-1-19-6-1,1.0000000014832615,8.035202524634078e-4,1.4110308378748596e-4,0
1544-1-19-6-2,1.000000001483798,0.0025633431276902555,3.780102935694158e-4,0
1544-1-19-6-3,0.7140227390049696,0.002590771981835365,6.067810242436826e-5,0
1544-1-19-6-4,0.6356112523421049,8.581942341374234e-4,0,0
1544-1-19-7-1,1.000000001480639,0.006182176931963302,0.0036474010886875913,0.021686820614466445
1544-1-19-7-2,1.0000000014744996,0.0014475167048629374,0.0014007107989909128,0.008697449348483235
1544-1-19-7-3,0.5571814704508483,0,0,0
1544-1-19-7-4,0.47873339324986935,6.667036694036797e-4,2.8437758196052165e-4,9.883790634637698e-4
1544-1-19-8-1,1.0000000014737844,0.024316219439190812,0.0032336700275223704,0.01062293604619801
1544-1-19-8-3,0.40026702066898345,0.003788942613862455,4.386226060800254e-6,3.048429999584332e-4
