id,gridArea,tof2010_sum,tof2016_sum,tof2020_sum
1549-1-1-14-2,0.9128786335279941,0.06687115165240412,0.06286422112113983,0.05670427913996298
1549-1-1-14-4,0.0014319563390552067,0,0,0
1549-1-1-f-2,0.4597314133156389,0,0,0
1549-1-1-f-4,1.0000000014256836,0,0,0
1549-1-2-10-1,1.0000000014239103,0.07315416404732411,0.11080911952656415,0.10050890095120948
1549-1-2-10-2,0.9808794852483571,0.07146110687327757,0.1330757354525961,0.13586309233785887
1549-1-2-10-3,0.12947484218788566,0.01673687683397159,0.02599054250450619,0.024368781934188684
1549-1-2-10-4,0.051891907700004056,0.002987855294971727,0.003532835145267658,0.0035130578469764443
1549-1-2-11-1,0.7647396025520041,0.09465424428092409,0.14623985257103292,0.16138950306124517
1549-1-2-11-2,0.49668693979199974,0.05169031070282124,0.07540279450143407,0.07155389266920928
1549-1-2-12-1,0.2286134536131751,0.030262575411070136,0.04004705856792721,0.042363499957933086
1549-1-2-12-2,0.016679602304907514,0.005530401172108017,0.008200730464588852,0.008730401586200112
1549-1-2-b-1,0.438637839694418,0,0,0
1549-1-2-b-2,0.41756204882848263,0,0,0
1549-1-2-b-3,1.0000000014257133,0,0,0
1549-1-2-b-4,1.0000000014267414,0,0,0
1549-1-2-c-1,0.39650404136542977,0,0,0
1549-1-2-c-2,0.37546381796447187,0,0,0
1549-1-2-c-3,1.00000000142546,0.00818922256668657,0.012961493742571212,0.011392947512288578
1549-1-2-c-4,1.0000000014230908,0.05703984315553773,0.08644786793913786,0.09380790129671712
1549-1-2-d-1,0.3544413792667352,0,0,0
1549-1-2-d-2,0.33343672592009604,0,0,0
1549-1-2-d-3,1.0000000014210493,0.12262188710535783,0.1889874934711298,0.18832505473106356
1549-1-2-d-4,0.9438395045983196,0.10488181634807121,0.1668163629894396,0.15001079157810285
1549-1-2-e-1,0.31244985857280344,0,0,0
1549-1-2-e-2,0.2914807778633907,0,0,0
1549-1-2-e-3,0.7039855983505026,0.01461307209201809,0.025199612294626424,0.023474996051474475
1549-1-2-e-4,0.6105458754703924,0,0,0
1549-1-2-f-1,0.2705294844288081,0,0,0
1549-1-2-f-2,0.24668978007418663,0,0,0
1549-1-2-f-3,0.5713423897616118,0,0,0
1549-1-2-f-4,0.6617412344478965,0,0,0
1549-1-3-10-2,0.025848805813996123,0,1.8241554043814542e-4,0.0011538278631288558
1549-1-3-11-1,0.18116267369914613,0.003627013873964548,0.00927819171683956,0.009508927407436073
1549-1-3-11-2,0.35426474835858124,0.012708787904079071,0.008936735860265792,0.025254875706520862
1549-1-3-b-1,0.16007247449480183,0.0037573207236723974,0.012987989020066336,0.00703839757697098
1549-1-3-b-2,0.04828830926512368,3.956571537842974e-4,0.0017621396876694635,0.0010975821211449803
1549-1-3-b-3,0.8349009132740796,0.056572227570819665,0.14027922269966916,0.11218333450543878
1549-1-3-b-4,0.9819048044944405,0.21720961108954623,0.33845738547929366,0.30632124849639547
1549-1-3-c-3,0.8794377023411468,0.1550679613979589,0.29578491158443315,0.2679141685182368
1549-1-3-c-4,0.5990399144164994,0.0013062195350676774,8.717860995046794e-5,0.008132675640286878
1549-1-1-f-2,0.5402685881218091,0,0,0
1549-1-2-b-1,0.5613621617437601,0,0,0
1549-1-2-b-2,0.5824379526142925,0,0,0
1549-1-2-c-1,0.6034959600759745,0,0,0
1549-1-2-c-2,0.6245361834806353,0,0,0
1549-1-2-d-1,0.6455586221813485,0,0,0
1549-1-2-d-2,0.6665632755298019,0,0,0
1549-1-2-e-1,0.6875501428755224,0,0,0
1549-1-2-e-2,0.7085192235905603,0,0,0
1549-1-2-f-1,0.7294705170286,0,0,0
1549-1-2-f-2,0.7533102214039266,0.002158829885471612,0.004449563461504877,0.001437748800416477
1549-1-3-b-1,0.8399275270906985,0.04833711439771577,0.10858084730930162,0.07762437688001805
1549-1-3-b-2,0.9517116834784001,0.052733687592542725,0.1418661391824838,0.10592354058875889
1549-1-3-b-4,2.8775527961656916e-4,0,2.8941538513544947e-4,2.7183065139502286e-4
1549-1-3-c-3,0.12056229871891334,0.02742096975673549,0.05507705851983651,0.050097720195559775
1549-1-3-c-4,0.4009600869034603,0,0,0
