id,gridArea,tof2010_sum,tof2016_sum,tof2020_sum
1544-2-10-14-1,1.0000000014821886,0.011081454954364744,0.003110260755818217,6.64347086512862e-4
1544-2-10-14-2,1.000000001479745,8.288828563536299e-4,8.559582335010418e-5,0
1544-2-10-14-3,1.000000001482904,0,2.033711120930093e-4,0
1544-2-10-14-4,1.000000001476705,7.315227321669227e-7,0,0
1544-2-10-4-2,1.0000000014935135,5.403970123438739e-4,1.9038389780234866e-5,0
1544-2-10-4-4,1.0000000014865398,1.6107140453414104e-4,1.0616072916036501e-4,0
1544-2-10-5-1,1.0000000014893413,5.557718185400518e-4,9.957756299172615e-5,0
1544-2-10-5-2,1.0000000014915467,0.027277191372206744,0.006640413796787925,0.0019279619011740579
1544-2-10-5-3,1.0000000014818906,0.0011788063490030254,6.97756229328661e-4,0
1544-2-10-5-4,1.0000000014836192,0.025633216604660447,0.013759992039979352,0.0015551009250884817
1544-2-10-a-1,1.0000000014851094,0,7.1297709217788e-4,0
1544-2-10-a-2,1.000000001491189,0.0032195052238535027,0.0014018602027476845,9.186988032183763e-4
1544-2-10-a-3,1.0000000014859438,0.007005468191664477,0.0047832632715199,0.003931292481070159
1544-2-10-a-4,1.000000001484871,0.013520481481918978,1.6687458713704473e-4,3.6961282290803865e-4
1544-2-10-f-1,1.0000000014920831,0.011156336279327661,0,3.732055768068676e-5
1544-2-10-f-2,1.0000000014815331,0.012694075194644938,0.001842644861540066,0
1544-2-10-f-3,1.0000000014788508,0.0375457565984334,0.008842364498093502,7.506958994554225e-4
1544-2-10-f-4,1.0000000014807582,4.317025221780568e-4,0,0
1544-2-11-1-1,1.0000000014896393,0.02924150646737189,0.013911870081471989,0.002285364381691579
1544-2-11-1-2,1.0000000014878512,0.0104655272476748,0.0010112076138284465,0
1544-2-11-1-3,1.0000000014916062,0.008458302092435588,7.321512498492666e-7,1.7789060666473233e-4
1544-2-11-1-4,1.000000001485884,0.005119718538765028,3.001545383085613e-5,0
1544-2-11-10-1,1.000000001476705,0,0,0
1544-2-11-10-2,1.000000001480937,3.152895228595298e-4,0,0
1544-2-11-10-3,1.0000000014820098,0,0,0
1544-2-11-10-4,1.0000000014762283,0.008345162985222032,0.0015793434475313006,2.3701162871248016e-4
