id,gridArea,tof2010_sum,tof2016_sum,tof2020_sum
1481-4-16-18-4,0.9746050503209531,0.05274867244543601,0.05005110613800306,0.05811561166717112
1481-4-16-19-3,0.8184843274558484,0.04422585912352614,0.03884151249767002,0.038354362216702666
1481-4-16-19-4,0.6438407910572738,0.033446570551105774,0.025397121766183525,0.024141151502138934
1481-4-17-15-3,0.47979126902061703,0.022774565369054676,0.036620712086828426,0.03618714992737584
1481-4-17-15-4,0.40095293160294,0,0,0
1481-4-17-16-3,0.34070012768773733,0,0,0
1481-4-17-16-4,0.28212634026452155,0,0,0
1481-4-17-17-3,0.29967264267657695,0.005432393420684151,0.0041727793369991705,0.004546188387655653
1481-4-17-17-4,0.35854328501952437,6.888806908177212e-4,0,0
1481-4-17-18-3,0.4174315826921165,0.009143942740329541,0,0
1481-4-17-18-4,0.47520405616123973,0.017377339043510145,0.014728944731801748,0.01218477789383661
1481-4-17-19-3,0.2515316525234133,0.026901365492801182,0.01463765458033234,0.01675485979305208
1547-2-2-4-2,1.0000000014498234,0.029979368136309085,0.03158748022364825,0.03049882215475943
1547-2-2-5-1,1.0000000014513135,0.13967684155449456,0.12648929596222191,0.13228255650694015
1547-2-2-5-2,1.0000000014480948,0.09526711395588425,0.07867621407800728,0.08268357028284669
1547-2-3-1-1,1.0000000014516413,0.13501052426454985,0.12277209732910153,0.10599124119410105
1547-2-3-1-2,1.0000000014576913,0.009962573386915028,0.03444372396547161,0.030629710078062488
1547-2-3-2-1,1.0000000014493466,0.01694167693845369,0.021654862487290052,0.02558303379077185
1547-2-3-2-2,1.0000000014537573,0.00507176494274009,0.005613864186217077,0.0061288229366885496
1547-2-3-3-1,1.0000000014618933,0.012536057913206517,0.0169850852541402,0.01532058985367138
1547-2-3-3-2,1.0000000014541746,0,0,0
1547-2-3-4-1,1.000000001450032,0,0,0
1547-2-3-4-2,1.000000001448989,0.012236692611263133,0.011404097291632555,0.010911842028908431
1547-2-3-5-1,0.9985290156919658,0.043663470094877296,0.02614287502923887,0.02956055608541239
1547-2-3-5-2,0.5918601042954996,0,0,0
1481-4-16-18-4,0.02539498385762051,3.1550331568345426e-5,0,2.934913633922115e-4
1481-4-16-19-3,0.18151567349455133,9.142256759339944e-4,0.001066107461946085,0.001061705766422674
1481-4-16-19-4,0.35615921017674357,0.013177406259573065,0.01267554809581209,0.012230879733099602
1481-4-17-15-3,0.5202087324422449,0.015271203687235713,0.019956699181909673,0.020552452483152038
1481-4-17-15-4,0.5990470699095726,0,0,0
1481-4-17-16-3,0.6592998738663643,0,5.38507097164169e-4,5.1356275119818746e-5
1481-4-17-16-4,0.7178736612707078,0,0,0
1481-4-17-17-3,0.7003273586722613,0.005151861770373769,0,0
1481-4-17-17-4,0.6414567163639069,0.01603970657779556,3.3089908610470594e-4,2.4211453381925823e-5
1481-4-17-18-3,0.5825684187251925,0.01918701217399165,0,0.0011562921386947854
1481-4-17-18-4,0.5247959452913851,0.02527793124376144,0.010941151892958209,0.008916230403840542
1481-4-17-19-3,0.7484683420847207,0.10976762775865663,0.06751618658140675,0.0878767930344576
1547-2-3-5-1,0.0014709935162253679,0,0,0
1547-2-3-5-2,0.40813989657227323,0.0021177694713808595,0.001179555716357194,1.2984361637756228e-4
