id,gridArea,tof2010_sum,tof2016_sum,tof2020_sum
1544-2-6-13-1,1.0000000015141368,1.9297806360479445e-4,1.0272284339182078e-5,0
1544-2-6-13-2,1.0000000015169381,0.001107915184018202,0.0013727248883964494,2.0029557862412183e-4
1544-2-6-13-3,1.0000000015122295,0,0,0
1544-2-6-13-4,1.0000000015082955,0.0031648900023084135,0.002843563563549891,0.0029205988553101195
1544-2-6-14-1,0.5623330635770973,0.020994604209097104,0.023377590767743997,0.012520755847182125
1544-2-6-14-2,3.5040498185437175e-5,0,0,0
1544-2-6-14-3,1.0000000015115738,0.04553763374309987,0.052205997050830164,0.028278757231947966
1544-2-6-14-4,0.4825607689681649,2.266780939074233e-4,8.671391746997833e-4,0
1544-2-6-18-1,1.0000000015081763,0,0,0
1544-2-6-18-2,1.0000000015134811,0,0,0
1544-2-6-9-3,0.317632823266387,0,0,0
1544-2-6-e-1,0.9335331874977351,0.005107498714721762,0.0013049476024331525,0.001810633134665899
1544-2-6-e-2,0.12314103988951444,0,0,0
1544-2-6-e-3,1.0000000015158654,1.4676899313926696e-6,0,0
1544-2-6-e-4,0.7786667378338575,0.0028631573556642978,5.855657081576064e-4,9.744788795411586e-4
1544-2-6-f-3,0.019121877196729184,0,0,0
1544-2-6-14-1,0.43766695647084713,0.03100302051204443,0.03333617541885469,0.01668968123554252
1544-2-6-14-2,0.9999649600289762,0.004086005251361057,0.01995283031998016,0.001077125766975805
1544-2-6-14-4,0.5174392281422019,5.568095078300685e-4,0.005458883238457143,0
1544-2-6-9-3,0.6823671502946355,0.0014694244919344784,2.48833269553259e-4,2.774464009720832e-4
1544-2-6-e-1,0.06646684024485945,5.152311959061771e-4,1.5633065221086145e-4,2.913764770561829e-4
1544-2-6-e-2,0.876858931502372,0.0015009283851729707,1.8421327081229538e-4,8.675158181712031e-4
1544-2-6-e-4,0.22133329448324443,2.5682766296900807e-5,6.009817356625571e-4,0
1544-2-6-f-3,0.9808781074274182,0.03713995769519825,0.0835805146752391,0.025197364652056246
